,ID,Name,Alias,Gender,Hair Color,Love Rank,Hate Rank,Eye color,Birthday,Blood Type,Tags,Love Count,Hate Count,Description,url,anime
7211,7212,Daisuke KOUSAKA,Unknown,Male,Black,6.112,2.078,Unknown,Unknown,Unknown,"Adults, Glasses, Police",386.0,236,Unknown,https://www.anime-planet.com/characters/daisuke-kousaka,Oreimo
7212,7213,Erii HARUUE,Unknown,Female,Brown,7.173,9.55,Unknown,Unknown,Unknown,"Superpowers, Middle School Students, Psychic Powers, Teenagers, Orphans",320.0,50,Unknown,https://www.anime-planet.com/characters/erii-haruue,A Certain Scientific Railgun
7214,7215,Mitsuko KONGO,Unknown,Female,Black,4.582,4.934,Unknown,Unknown,Unknown,"Big Ego, Elemental Powers, Middle School Students, Ojou-sama, Psychic Powers, Superpowers, Teenagers, Transfer Students, Wind Powers",532.0,105,Unknown,https://www.anime-planet.com/characters/mitsuko-kongo,A Certain Magical Index II
7215,7216,Harumi KIYAMA,Unknown,Female,Brown,4.043,9.698,Unknown,Unknown,Unknown,"Adults, Eye Bags, Scientists, Teachers",608.0,49,Unknown,https://www.anime-planet.com/characters/harumi-kiyama,A Certain Scientific Railgun
7216,7217,Selina SHERLOCK,Celes,Female,Blonde,3.494,16.696,Blue,Unknown,Unknown,"Glasses, Magic Users, Photographers, Pigtails, Reporters, Teenagers, Twins",697.0,24,Unknown,https://www.anime-planet.com/characters/selina-sherlock,Trinity Seven
7218,7219,Akira NIKAIDO,Unknown,Male,Brown,5.556,17.605,Unknown,Unknown,Unknown,"Delinquents, High School Students, Hot-Headed, Teenagers, Piercings",430.0,22,"Akira is a 16 year-old teenager; as a classic underachiever in school and life, he finds himself thrown into protecting his world by Shirogane. Shirogane gives Akira the ability to change into a ""shadow form"", in which he can attack ""shadow beasts"" alongside him. Akira is independent, and only spends time with his friends Kengo and Aya.",https://www.anime-planet.com/characters/akira-nikaido,Monochrome Factor
7220,7221,Aoba SERAGAKI,Unknown,Male,Blue,2.524,8.118,Grey,April 22,A,"Adults, Headphones",951.0,61,Unknown,https://www.anime-planet.com/characters/aoba-seragaki,DRAMAtical Murder
7222,7223,Yuu YANASE,Unknown,Male,Brown,4.408,3.558,Magenta,Unknown,Unknown,"Adults, Artists, LGBT+",555.0,145,Unknown,https://www.anime-planet.com/characters/yuu-yanase,Sekai-ichi Hatsukoi: World's Greatest First Love
7226,7227,Mira YAMANA,General,Female,Blonde,2.847,9.771,Purple,Unknown,Unknown,"Hair Antenna, Magical Girl, Ponytail, Small Stature, Teenagers",853.0,49,Unknown,https://www.anime-planet.com/characters/mira-yamana,Trinity Seven
7227,7228,Ren KAIDOU,Unknown,Male,Black,2.806,18.535,Unknown,Unknown,Unknown,"Transfer Students, Gay, Orphans, Teenagers, Animal Lovers, Foreigners, LGBT+",864.0,21,Unknown,https://www.anime-planet.com/characters/ren-kaidou,Super Lovers
7229,7230,Touko MURASAME,Unknown,Female,Pink,6.658,14.853,Unknown,Unknown,Unknown,"High School Students, Teenagers",348.0,28,Unknown,https://www.anime-planet.com/characters/touko-murasame,The Betrayal Knows My Name
7230,7231,Akio FUDOU,Unknown,Female,Black,2.855,12.453,Brown,Unknown,Unknown,"Hair Ribbons, Magic Users, Teenagers",850.0,36,Unknown,https://www.anime-planet.com/characters/akio-fudou-trinity-seven-7-nin-no-mahoutsukai,Trinity Seven
7231,7232,Yoshiyuki HATORI,Tori,Male,Brown,3.067,9.751,Blue,June 5,Unknown,"Adults, Editors, LGBT+, Seme",790.0,49,Unknown,https://www.anime-planet.com/characters/yoshiyuki-hatori,Sekai-ichi Hatsukoi: Valentine-hen
7232,7233,Hotsuma RENJOU,Unknown,Male,Blonde,4.713,29.182,Unknown,Unknown,Unknown,"Piercings, Teenagers, High School Students",515.0,10,Unknown,https://www.anime-planet.com/characters/hotsuma-renjou,The Betrayal Knows My Name
7234,7235,Koujaku,Unknown,Male,Blue,3.027,11.984,Brown,August 19,Unknown,"Adults, Beauticians, Blinding Bangs, Ponytail, Scars, Smokers, Tattoos",801.0,38,Unknown,https://www.anime-planet.com/characters/koujaku,DRAMAtical Murder
7235,7236,Tadaomi SHIROTANI,Unknown,Male,Brown,4.166,40.202,Unknown,Unknown,Unknown,"Gloves, Adults, Gay, Moles, Uke, LGBT+",591.0,6,Unknown,https://www.anime-planet.com/characters/tadaomi-shirotani,6 Lovers
7236,7237,Shirogane,Unknown,Male,White,5.463,14.831,Unknown,Unknown,Unknown,"Royalty, Hats, Piercings, Ponytail, Rapunzel Hair",439.0,28,Unknown,https://www.anime-planet.com/characters/shirogane,Monochrome Factor
7237,7238,Haru KAIDOU,Natsu,Male,Blonde,3.219,9.636,Unknown,Unknown,Unknown,"Hosts, Adults, Amnesia, Bisexual, Brother Complex, Charismatic, Cooks, LGBT+",756.0,50,Unknown,https://www.anime-planet.com/characters/haru-kaidou,Super Lovers
7238,7239,Yuki SAKURAI,Yuki GIOH,Male,Orange,4.285,4.764,Unknown,Unknown,Unknown,"High School Students, Orphans, Teenagers",572.0,109,Unknown,https://www.anime-planet.com/characters/yuki-sakurai,The Betrayal Knows My Name
7239,7240,Irene,"Flash Sword, Ilena, Quick Sword",Female,White,3.345,7.069,Unknown,Unknown,Unknown,"Pointy Ears, Sword Fighters, Warriors, Capes",729.0,71,"Irene is the former number 2 Claymore from the time of Teresa, but now demoted to number 3 behind the new recruit Pricsilla. Calm and intelligent, she shows good leadership skills but can be cold and distant at times. She gets her nickname ""Flash Sword Irene"" from the Flash Sword Technique which involves moving her claymore so quickly in combat that it can't be seen.",https://www.anime-planet.com/characters/irene-claymore,Claymore
7242,7243,Hijiri KASUGA,Unknown,Female,Blue,4.682,6.481,Unknown,Unknown,Unknown,"Hair Antenna, Teenagers",520.0,79,Unknown,https://www.anime-planet.com/characters/hijiri-kasuga,Trinity Seven
7246,7247,Riku KUROSE,Unknown,Male,Black,3.787,26.724,Unknown,Unknown,Unknown,"Seme, Gay, Doctors, Adults, LGBT+",649.0,12,Unknown,https://www.anime-planet.com/characters/riku-kurose,6 Lovers
7247,7248,Akito HAYAMA,Unknown,Male,Blonde,4.487,38.538,Brown,October 12,B,"Children, Delinquents, Stoic",544.0,6,"Known as a lone-wolf, Akito mostly keeps himself to himself but somehow is worshipped as a leader by all of the boys in the classroom. His strained life at home has led him to be thought of as a delinquent by his teachers and many of his classmates, but deep down, Hayama just wants some love and attention. Even though she seems to be completely different to him, Hayama makes friends with Sana and a love/hate relationship ensues!",https://www.anime-planet.com/characters/akito-hayama,Kodocha
7249,7250,Teru KUREBAYASHI,Unknown,Female,Brown,4.71,79.677,Unknown,Unknown,O,"High School Students, Hot-Headed, Orphans, Poor, Teenagers",515.0,1,Unknown,https://www.anime-planet.com/characters/teru-kurebayashi,Dengeki Daisy
7250,7251,Ririn,Unknown,Female,Blonde,2.458,425.0,Blue,Unknown,Unknown,Small Stature,976.0,845,Ririn is a modified soul created by Urahara in order to track down the bount alongside Noba and Claude . She is slightly arrogant and acts as the leader of the three. She can sometimes be seen in her artificial body and other times she takes the form of a bird-like plushie. Ririn doesn’t get on well with Kon and often quarrels with him.,https://www.anime-planet.com/characters/ririn,Bleach
7251,7252,Seiji SAWAMURA,Unknown,Male,Blonde,3.641,22.602,Unknown,Unknown,Unknown,"Delinquents, High School Students, Teenagers",672.0,15,"Widely known as a delinquent, Seiji is nicknamed Mad Dog Sawamura. Skilled as a brutal fighter, his claim to fame is his ""devil's right hand"". His hot-headed nature often gets him into trouble with gangs and he is not afraid to take them all on at once. This however does not help his dream one bit: to have a girlfriend. Instead, his fiery nature scares off every single female he comes into contact with.",https://www.anime-planet.com/characters/seiji-sawamura,Midori Days
7253,7254,Noi KASAHARA,Unknown,Female,Red,4.77,9.687,Unknown,Unknown,Unknown,"High School Students, Teenagers",509.0,49,Unknown,https://www.anime-planet.com/characters/noi-kasahara,The Wallflower
7254,7255,Miss Lady,Unknown,Female,Black,2.581,4.932,Unknown,Unknown,Unknown,"Adults, Heterochromia, Mercenaries, Scars, Bikers, Gunslingers",936.0,105,Unknown,https://www.anime-planet.com/characters/miss-lady,Devil May Cry
7255,7256,Tasuku KUROSAKI,Unknown,Male,Blonde,3.026,54.109,Unknown,Unknown,AB,"Adults, Computer Programmers, Hackers, Hot-Headed, Secret Identity, Smokers",801.0,3,Unknown,https://www.anime-planet.com/characters/tasuku-kurosaki,Dengeki Daisy
7256,7257,Sylvia VAN HOSSEN,Sylvie,Female,Blonde,2.788,20.181,Unknown,Unknown,Unknown,"High School Students, Nobility, Wealthy, Teenagers, Sword Fighters",867.0,18,Unknown,https://www.anime-planet.com/characters/sylvia-van-hossen,Princess Lover!
7257,7258,Nora ARENDT,Unknown,Female,Blonde,2.407,5.828,Unknown,Unknown,Unknown,Ponytail,998.0,88,"Nora is a young shepherd of extraordinary skill who has worked together with her dog, Enek, for many years as an inseperable team. She is a kind and modest girl who doesn't hesitate to lend passing strangers a helping hand.",https://www.anime-planet.com/characters/nora-arendt,Spice and Wolf
7258,7259,Pesche GUATICHE,Unknown,Male,Blonde,2.574,307.0,Unknown,Unknown,Unknown,Masks,938.0,1.068,"Pesche is a bizarre arrancar with an insect-like appearance and he travels around Hueco Mundo with Nel and Dondochakka . He has quite a silly personality, he likes to joke around and have fun. Despite his light-hearted nature, Pesche can be useful in a fight with his special ‘Infinite Slick’ ability.",https://www.anime-planet.com/characters/pesche-guatiche,Bleach
7263,7264,Hiroshi,Unknown,Male,Black,4.142,4.414,Unknown,Unknown,Unknown,Inanimate Objects,593.0,117,Unknown,https://www.anime-planet.com/characters/hiroshi,The Wallflower
7266,7267,Timber,Unknown,Male,Purple,2.99,2.141,Red,Unknown,Unknown,"Butlers, Demons, Triplets",812.0,230,Unknown,https://www.anime-planet.com/characters/timber,Black Butler 2
7267,7268,Mrs. SUMINOE,Unknown,Female,Brown,6.947,7.255,Unknown,Unknown,Unknown,Adults,331.0,69,"Ako and Riko's maternal parent, Mrs Suminoe is completely behind the potential relationship one of her girls could share with Keita. Kind and flirty, she maintains a healthy marriage with her husband.",https://www.anime-planet.com/characters/mrs-suminoe,Kiss x Sis
7268,7269,Daedalus,Unknown,Female,Blue,4.326,9.416,Unknown,Unknown,Unknown,"Angels, Wings, Blinding Bangs, Scientists",565.0,51,Unknown,https://www.anime-planet.com/characters/daedalus,Heaven's Lost Property
7269,7270,Mana TAKAMIYA,Adeptus 2,Female,Blue,3.051,3.279,Unknown,Unknown,Unknown,"Military, Moles, Ponytail, Sword Fighters",794.0,157,Unknown,https://www.anime-planet.com/characters/mana-takamiya,Date a Live
7270,7271,Shirakawa,Unknown,Female,Brown,6.358,1.494,Unknown,Unknown,Unknown,"Adults, Glasses, Ponytail",368.0,313,Unknown,https://www.anime-planet.com/characters/shirakawa,Elfen Lied
7271,7272,Gunther SCHULTZ,Unknown,Male,Black,3.146,2.173,Black,July 30,Unknown,"Military, Sword Fighters",772.0,227,Unknown,https://www.anime-planet.com/characters/gunther-schultz,Attack on Titan
7273,7274,Rimi SAKIHATA,Unknown,Female,Pink,3.124,8.672,Unknown,Unknown,Unknown,"Hair Antenna, Hair Ribbons, High School Students, Teenagers",776.0,56,Unknown,https://www.anime-planet.com/characters/rimi-sakihata,Chaos;Child
7275,7276,Thompson,Unknown,Male,Purple,2.936,2.122,Red,Unknown,Unknown,"Butlers, Demons, Triplets",825.0,232,Unknown,https://www.anime-planet.com/characters/thompson,Black Butler 2
7279,7280,Nanami NISHIJO,Unknown,Female,Blonde,5.059,8.16,Unknown,Unknown,Unknown,"Hair Antenna, Headbands, High School Students, Teenagers",477.0,60,Unknown,https://www.anime-planet.com/characters/nanami-nishijo,Chaos;Child
7280,7281,Tsugumi HARUDORI,Unknown,Female,Black,4.654,8.32,Unknown,Unknown,Unknown,"Pigtails, Shapeshifters, Teenagers",523.0,59,Unknown,https://www.anime-planet.com/characters/tsumugi-harudori,Soul Eater Not!
7282,7283,Ayase KISHIMOTO,FES,Female,Purple,3.849,10.03,Unknown,Unknown,Unknown,"Singers, Teenagers, High School Students, Stoic",637.0,47,Unknown,https://www.anime-planet.com/characters/ayase-kishimoto,Chaos;HEAd
7283,7284,Gretel,Unknown,Unknown,White,5.022,2.809,Unknown,Unknown,Unknown,"Gothic Lolita, Non-Binary Gender, Bloodthirsty, Twins, Gunslingers, LGBT+",480.0,180,Unknown,https://www.anime-planet.com/characters/gretel,Black Lagoon Specials
7284,7285,Ren Elsie JEWELRIA,Unknown,Male,Multicolored,6.397,2.719,Unknown,Unknown,Unknown,"Aliens, Hair Antenna, High School Students, Teenagers",366.0,186,Unknown,https://www.anime-planet.com/characters/ren-elsie-jewelria,Motto To Love Ru
7287,7288,Hansel,Unknown,Unknown,White,5.711,2.563,Unknown,Unknown,Unknown,"Non-Binary Gender, Axe Wielders, Bloodthirsty, Twins, LGBT+",416.0,197,Unknown,https://www.anime-planet.com/characters/hansel,Black Lagoon Specials
7289,7290,Yumi AZUSA,Unknown,Female,Black,2.565,2.231,Unknown,Unknown,Unknown,"Adults, Bossy, Glasses, Teachers, Shapeshifters",941.0,222,"One of the powerful Death Scythes Shibusen who serve Shibusen, Yumi Azusa prefers to use her intelligence and information gathering skills over her fighting ability. Precise and efficient, she can map out the layout of an entire building in mere seconds. The power of information is scary, and at times, so is Azusa.",https://www.anime-planet.com/characters/yumi-azusa,Soul Eater
7291,7292,Keigo KURUSU,Fourth,Male,Black,2.647,436.0,Unknown,Unknown,Unknown,"Smokers, Police, Facial Hair, Adults, Ponytail",913.0,828,Unknown,https://www.anime-planet.com/characters/keigo-kurusu,Future Diary
7293,7294,Yuzuru YAMAI,Unknown,Female,Orange,2.529,26.679,Unknown,Unknown,Unknown,"Transfer Students, Ponytail, High School Students, Braids, Hair Drills",950.0,12,Unknown,https://www.anime-planet.com/characters/yuzuru-yamai,Date a Live: Date to Date
7298,7299,Kaguya YAMAI,Unknown,Female,Orange,2.577,17.32,Unknown,Unknown,Unknown,"Hair Buns, Braids, High School Students, Transfer Students, Hair Drills",938.0,23,Unknown,https://www.anime-planet.com/characters/kaguya-yamai,Date a Live: Date to Date
7301,7302,Boris,Sergeant,Male,Black,6.998,8.954,Unknown,Unknown,Unknown,"Adults, Military Veterans, Scars",328.0,54,Unknown,https://www.anime-planet.com/characters/boris,Black Lagoon
7302,7303,Chaos,Unknown,Female,Blonde,4.643,3.604,Purple,Unknown,Unknown,"Angels, Wings",524.0,143,Unknown,https://www.anime-planet.com/characters/chaos,Heaven's Lost Property Final Movie 2: Eternally My Master
7303,7304,Saki TENJOUIN,Unknown,Female,Blonde,4.742,2.041,Orange,February 1,A,"Bossy, Hair Buns, Hair Drills, High School Students, Ojou-sama, Teenagers, Wealthy",512.0,240,Unknown,https://www.anime-planet.com/characters/saki-tenjouin,Motto To Love Ru
7304,7305,Akane HOSHI,Unknown,Male,Black,7.138,19.608,Unknown,Unknown,Unknown,"Glasses, Sword Fighters, Teenagers, Blinding Bangs",322.0,19,Unknown,https://www.anime-planet.com/characters/akane-hoshi,Soul Eater Not!
7305,7306,Kenichi SARUYAMA,Unknown,Male,Black,7.128,2.426,Unknown,Unknown,Unknown,"High School Students, Perverted, Teenagers",322.0,206,Unknown,https://www.anime-planet.com/characters/kenichi-saruyama,Motto To Love Ru
7307,7308,Miku IZAYOI,"Diva, Tsukino YOIMACHI",Female,Blue,3.392,4.101,Unknown,Unknown,Unknown,"Bisexual, LGBT+, Androphobia, High School Students, Idols, Teenagers",720.0,126,Unknown,https://www.anime-planet.com/characters/miku-izayoi,Date a Live II
7311,7312,Cantebury,Unknown,Male,Purple,2.876,2.052,Red,Unknown,Unknown,"Butlers, Demons, Triplets",845.0,239,Unknown,https://www.anime-planet.com/characters/cantebury,Black Butler 2
7315,7316,Joe BUTTATAKI,"BJ, Mole HUNTER",Male,Brown,4.492,1.723,Unknown,Unknown,Unknown,"Adults, Facial Hair",543.0,278,Unknown,https://www.anime-planet.com/characters/joe-buttataki,Soul Eater
7316,7317,Kanae,Unknown,Female,Black,2.781,2.218,Unknown,Unknown,Unknown,"Children, Hair Ribbons",868.0,223,Unknown,https://www.anime-planet.com/characters/kanae-elfen-lied,Elfen Lied
7317,7318,Kate TAKAYAMA,Unknown,Female,Purple,2.454,7.991,Unknown,Unknown,Unknown,"Hats, Moles, Nuns, Snaggleteeth, Teachers, Teenagers",977.0,62,Unknown,https://www.anime-planet.com/characters/kate-takayama,Haganai: I Don't Have Many Friends
7319,7320,Yuuko KANDA,Unknown,Female,Red,4.391,3.174,Unknown,Unknown,Unknown,"Teenagers, Ponytail, Middle School Students, Hair Ribbons",557.0,162,Unknown,https://www.anime-planet.com/characters/yuuko-kanda,The Pet Girl of Sakurasou
7320,7321,Kyoko,Unknown,Female,Blonde,4.119,1.632,Unknown,Unknown,Unknown,"Pigtails, Teenagers",598.0,292,Unknown,https://www.anime-planet.com/characters/kyoko-is-this-a-zombie,Is this a Zombie?
7321,7322,Yua KUSUNOKI,Unknown,Female,Blonde,7.219,3.819,Unknown,Unknown,Unknown,"Glasses, High School Students, Teenagers, Twins",317.0,134,Unknown,https://www.anime-planet.com/characters/yua-kusunoki,Chaos;HEAd
7324,7325,Ginji MATSUZAKI,"Hitokiri Ginji, Manslayer Ginji",Male,Black,6.226,16.62,Unknown,Unknown,Unknown,"Adults, Facial Hair, Gangsters, Sunglasses, Sword Fighters, Honorable Fighters",377.0,24,Unknown,https://www.anime-planet.com/characters/ginji-matsuzaki,Black Lagoon Specials
7326,7327,King of the Night,Unknown,Male,Grey,6.988,1.318,Unknown,Unknown,Unknown,"Undead, Magic Users",329.0,349,Unknown,https://www.anime-planet.com/characters/king-of-the-night,Is this a Zombie?
7328,7329,Meme TATANE,Unknown,Female,Brown,5.522,6.781,Unknown,Unknown,Unknown,"Clumsy, Teenagers, Airheads, Hair Ribbons",433.0,75,Unknown,https://www.anime-planet.com/characters/meme-tatane,Soul Eater Not!
7329,7330,Anya HEPBURN,Unknown,Female,Blonde,5.539,6.782,Unknown,Unknown,Unknown,"Headbands, Teenagers, Wealthy",432.0,75,Unknown,https://www.anime-planet.com/characters/anya-hepburn,Soul Eater Not!
7330,7331,Orito,Unknown,Male,Brown,4.094,2.282,Unknown,Unknown,Unknown,"Glasses, High School Students, Teenagers, Perverted",603.0,217,Unknown,https://www.anime-planet.com/characters/orito,Is this a Zombie?
7331,7332,Ryouko KUSAKABE,Unknown,Female,Black,4.747,5.416,Unknown,Unknown,Unknown,"Adults, Armor, Gunslingers, Military, Ponytail",512.0,96,Unknown,https://www.anime-planet.com/characters/ryouko-kusakabe,Date a Live
7335,7336,Run,Unknown,Male,Blonde,2.82,1.442,Unknown,Unknown,Unknown,Unknown,860.0,323,Unknown,https://www.anime-planet.com/characters/run-akame-ga-kill,Akame ga Kill!
7337,7338,Chihiro SENGOKU,Unknown,Female,Red,2.584,10.631,Unknown,Unknown,Unknown,"Adults, Dormitory Heads, Teachers",935.0,44,Unknown,https://www.anime-planet.com/characters/chihiro-sengoku,The Pet Girl of Sakurasou
7342,7343,Kozue ORIHARA,Kozupii,Female,Blonde,4.833,7.929,Unknown,Unknown,Unknown,"Verbal Tic, Transfer Students, Teenagers, Psychic Powers, Pigtails, Mute, High School Students, Hair Ribbons, Hair Antenna, Clumsy, Superpowers",501.0,62,Unknown,https://www.anime-planet.com/characters/kozue-orihara,Chaos;HEAd
7344,7345,Kokoa SHUZEN,Koko SHUZEN,Female,Orange,2.75,1.874,Unknown,Unknown,Unknown,"High School Students, Pigtails, Teenagers, Vampires, Hot-Headed, Hair Ribbons",878.0,262,Unknown,https://www.anime-planet.com/characters/kokoa-shuzen,Rosario + Vampire Capu2
7345,7346,Hiyori KAZANE,Type Zeta,Female,Black,4.754,20.319,Black,Unknown,Unknown,"Farmers, High School Students, Ponytail",511.0,18,Unknown,https://www.anime-planet.com/characters/hiyori-kazane,Heaven's Lost Property Final Movie 2: Eternally My Master
7347,7348,Fujioka,Unknown,Female,Brown,2.868,15.374,Unknown,Unknown,Unknown,"Mischievous, Teenagers, Middle School Students, Braids, Part Time Employees",847.0,27,Unknown,https://www.anime-planet.com/characters/fujioka-another,Another
7349,7350,Kim DIEHL,Unknown,Female,Pink,2.733,2.441,Unknown,Unknown,Unknown,"Teenagers, Unconventional Weapon",883.0,205,"Part of Kilik and Ox's team, Kim is a typical popular girl. Don't let her looks fool you though, Kim is also a strong lantern technician that will burn you if you get too close. Kim's partner Jaquline is almost always with her. Together the two can achieve flight, even with extra passengers.",https://www.anime-planet.com/characters/kim-diehl,Soul Eater
7351,7352,Keika YOU,Unknown,Male,Blue,6.373,25.583,Unknown,Unknown,Unknown,"Adults, Exorcists, Ghosts, Hair Antenna, Ponytail, Sword Fighters",368.0,13,Unknown,https://www.anime-planet.com/characters/keika-you,Spiritpact
7352,7353,Ikaruga SUGINAMI,Unknown,Female,Black,6.794,26.811,Unknown,Unknown,Unknown,"Hackers, High School Students, Teenagers",340.0,12,Unknown,https://www.anime-planet.com/characters/ikaruga-suginami,Anti-Magic Academy: The 35th Test Platoon
7353,7354,Shinwoo HAN,Yusuke TASHIRO,Male,Orange,4.4,17.23,Unknown,Unknown,Unknown,"Bandages, High School Students, Martial Artists, Piercings, Teenagers",556.0,23,Unknown,https://www.anime-planet.com/characters/shinwoo-han,Noblesse
7356,7357,Ki TANMOKU,Unknown,Male,White,5.839,73.561,Unknown,Unknown,Unknown,"Piercings, Sword Fighters, Teenagers",406.0,2,Unknown,https://www.anime-planet.com/characters/ki-tanmoku,Spiritpact
7368,7369,Sachiko YAGAMI,Unknown,Female,Brown,6.982,2.877,Brown,"October 10, 1962",O,Adults,329.0,177,"Sachiko is Detective Soichiro Yagami's wife and Light's mother. She is very proud of her over-achieving son, but seems blissfully oblivious of what goes on behind the 'perfect son' facade that Light presents to her.",https://www.anime-planet.com/characters/sachiko-yagami,Death Note
7370,7371,Articuno,Freezer,Unknown,Blue,4.419,14.483,Unknown,Unknown,Unknown,"Birds, Elemental Powers, Ice Powers, Pokemon, Tails, Wings",554.0,29,Unknown,https://www.anime-planet.com/characters/articuno,Pokemon
7372,7373,Eru,El,Female,Blonde,4.824,4.713,Unknown,Unknown,Unknown,"Angels, Closed Eyes, Fairies, Verbal Tic",502.0,110,"The angelic and scatterbrained Eru is one of Utau Hoshina 's guardian characters. Although her intentions are always good, and although she is not incapable of intelligence, Eru often seems to end up confusing herself and others in her attempts to act as an angel of love. She is also a poor singer.",https://www.anime-planet.com/characters/eru,Shugo Chara!
7374,7375,Nadeshiko FUJISAKI,Nagihiko FUJISAKI,Unknown,Purple,3.043,18.279,Orange,"July 4, 1995",AB,"Children, Dancers, Elementary School Students, Student Council, Yamato Nadeshiko",795.0,21,Unknown,https://www.anime-planet.com/characters/nadeshiko-fujisaki,Shugo Chara!
7377,7378,Kaede MIZUNO,Unknown,Female,Blonde,2.649,7.826,Unknown,Unknown,Unknown,"Teenagers, High School Students, Hair Antenna, Athletes, Animal Lovers, Track and Fielders",912.0,63,"Smart, cute and everything Junpei looks for in a girl, Kaede is completely oblivious to any romantic feelings directed towards her. Completely naive, she often takes things out of context. Although she adores cats, they are wary of her because of the scent left on her by her canine companions!",https://www.anime-planet.com/characters/kaede-mizuno,Nyan Koi!
7381,7382,Wedy,Mary KENWOOD,Female,Blonde,3.26,1.259,Unknown,"November 2, 1974",B,"Adults, Hats, Sunglasses, Thieves",748.0,361,Unknown,https://www.anime-planet.com/characters/wedy,Death Note
7389,7390,Yusuke SAITO,Unknown,Male,Black,6.508,3.367,Unknown,Unknown,Unknown,"Police, Adults",358.0,153,Unknown,https://www.anime-planet.com/characters/yusuke-saito,Darker than Black
7391,7392,Raynare,Unknown,Female,Black,5.493,1.212,Unknown,Unknown,Unknown,"Angels, Scantily-clad, Wings",436.0,374,Unknown,https://www.anime-planet.com/characters/raynare,High School DxD
7399,7400,Rin KAGAMINE,Unknown,Female,Blonde,3.909,21.789,Unknown,Unknown,Unknown,"Hair Ribbons, Headphones, Idols, Teenagers, Vocaloids",628.0,16,Unknown,https://www.anime-planet.com/characters/rin-kagamine,40meterP: Do Re Mi Fa Rondo
7406,7407,Ryuji OTOGI,Duke DEVLIN,Male,Black,6.157,10.243,Unknown,Unknown,Unknown,"Battle Gamers, Headbands, High School Students, Piercings, Teenagers",382.0,46,Unknown,https://www.anime-planet.com/characters/ryuji-otogi,Yu-Gi-Oh! Duel Monsters
7407,7408,Ravel PHOENIX,Unknown,Female,Blonde,4.291,3.469,Blue,Unknown,Unknown,"Demons, Elemental Powers, Fire Powers, Hair Antenna, Hair Drills, Magic Users, Pigtails",571.0,149,Unknown,https://www.anime-planet.com/characters/ravel-phoenix,High School DxD
7409,7410,Grayfia LUCIFUGE,Unknown,Female,Grey,2.743,8.215,Unknown,Unknown,Unknown,"Braids, Demons, Hair Ribbons, Headbands",880.0,60,Unknown,https://www.anime-planet.com/characters/grayfia-lucifuge,High School DxD
7423,7424,Muneakira YAGYUU,Unknown,Male,Grey,5.765,9.883,Unknown,Unknown,Unknown,"Samurai, Sword Fighters",412.0,48,Unknown,https://www.anime-planet.com/characters/muneakira-yagyuu,Samurai After
7427,7428,Nephrite,"Masato SANJOIN, Maxfield STANTON",Male,Brown,5.735,4.503,Unknown,Unknown,Unknown,"Big Ego, Magic Users, Piercings",414.0,115,Unknown,https://www.anime-planet.com/characters/nephrite,Pretty Guardian Sailor Moon Crystal
7428,7429,Anzu,Unknown,Female,Multicolored,6.802,16.068,Unknown,Unknown,Unknown,"Children, Hair Antenna, Kindergartners, Rosy Cheeks",339.0,25,"Anzu is in the Sakura Class at Hanamaru kindergarten. She is very lively, friendly and outgoing and is happy to make friends. However, despite her adventurous nature, Anzu is actually quite scared of heights, not that it stops her climbing trees! Anzu is extremely protective of her friends and is in love with Tsuchida.",https://www.anime-planet.com/characters/anzu,Hanamaru Kindergarten
7434,7435,Soichi NISHIMURA,"Ironman, Tetsujin",Male,Black,3.038,6.766,Unknown,Unknown,Unknown,"Adults, Epic Eyebrows, Teachers",796.0,75,Mr. Nishimura is the terrifying detention master who has been given the nickname of ‘Ironman’. He frequently appears during battles to drag those who were knocked out to supplementary lessons.,https://www.anime-planet.com/characters/soichi-nishimura,Baka and Test - Summon the Beasts
7437,7438,Miki HYOUDOU,Unknown,Female,Brown,6.693,6.919,Unknown,Unknown,Unknown,Adults,346.0,73,Unknown,https://www.anime-planet.com/characters/miki-hyoudou,High School DxD
7439,7440,Tsukasa AMAKAWA,Unknown,Male,Brown,7.358,17.697,Unknown,Unknown,Unknown,"Adults, School Principals",309.0,22,Unknown,https://www.anime-planet.com/characters/tsukasa-amakawa,Shugo Chara!
7448,7449,Kusu KUSU,Unknown,Female,Orange,5.049,10.194,Unknown,Unknown,Unknown,"Clowns, Fairies, Hats",478.0,46,Unknown,https://www.anime-planet.com/characters/kusu-kusu,Shugo Chara!
7449,7450,Rinslet WALKER,Rins,Female,Purple,3.737,9.132,Unknown,August 1,B,"Adults, Thieves",656.0,53,Unknown,https://www.anime-planet.com/characters/rinslet-walker,Black Cat
7452,7453,Khamsin NBH'W,Mobilizer of Ceremonial Equipment,Male,Brown,4.687,10.045,Unknown,Unknown,Unknown,"Magic Users, Ponytail, Scars, Stoic",519.0,47,Unknown,https://www.anime-planet.com/characters/khamsin-nbhw,Shakugan no Shana
